store_code,district,address,latitude,longitude,geocode_status,note
417.0,Wong Tai Sin,"Shop No.213 & 214, 2/F., Fung Tak Shopping Centre, Wong Tai Sin, Kln.",22.342,114.195,SUCCESS_DISTRICT_CENTER,District center approximation - not exact location
227.0,Kowloon City,"Unit MTR-09, Festival Walk, 80 Tat Chee Avenue, Kowloon Tong, Kln.",22.328,114.191,SUCCESS_DISTRICT_CENTER,District center approximation - not exact location
112.0,Sha Tin,"Shop No.113, G/F, Hin Keng Shopping Ctr, Hin Keng Estate, Shatin, N.T.",22.387,114.195,SUCCESS_DISTRICT_CENTER,District center approximation - not exact location
920.0,Wong Tai Sin,"Shop No. B14, B1/F, Kai Chuen Shopping Centre, Kai Chuen Court (Phase 2), Diamond Hill, Wong Tai Sin, Kowloon",22.342,114.195,SUCCESS_DISTRICT_CENTER,District center approximation - not exact location
530.0,Wong Tai Sin,"Shop No. N210A, Level 2, Temple Mall North, 136 Lung Cheung Road, Wong Tai Sin, Kln",22.342,114.195,SUCCESS_DISTRICT_CENTER,District center approximation - not exact location
898.0,Wong Tai Sin,"Shop No.3183A, 3/F., Lok Fu Place, 198 Junction Road, Wong Tai Sin,  Kowloon",22.342,114.195,SUCCESS_DISTRICT_CENTER,District center approximation - not exact location
325.0,Sha Tin,"Shops 20-22, G/F., Mei Lam Shopping Centre, Mei Lam Estate, Tai Wai, N.T.",22.387,114.195,SUCCESS_DISTRICT_CENTER,District center approximation - not exact location
327.0,Sha Tin,"Shops 103 & 104, 1/F., Mei Tin Shopping Centre, Mei Tin Estate, Tai Wai, N.T.",22.387,114.195,SUCCESS_DISTRICT_CENTER,District center approximation - not exact location
116.0,Wong Tai Sin,"Shop 377-378, Plaza Hollywood, Diamond Hill, Kln.",22.342,114.195,SUCCESS_DISTRICT_CENTER,District center approximation - not exact location
529.0,Sha Tin,"Shop 7, G/F, Sun Chui Shopping Centre, Sun Chui Estate, Tai Wai, N.T.",22.387,114.195,SUCCESS_DISTRICT_CENTER,District center approximation - not exact location
